OFFSPRING_ID,tag,year,sex,length,depth,death_fate,entry_date,death_date,locations,Creek,,FATHER_ID,tag,year,sex,length,depth,death_fate,entry_date,death_date,locations,Creek,,MOTHER_ID,tag,year,sex,length,depth,death_fate,entry_date,death_date,locations,Creek
7755,wtz,2008,f,406,105,,54,54,"a mouth,c",C,,2412,bdm,2004,m,408,135,,35,45,"c,c,c,c,c,c,c,c,c,c",C,,,,,,,,,,,,
7756,gte,2008,nosex,,,bk,49,55,"c,c,c,c,c,c,c",C,,2673,wsh,2004,m,459,144,bk,33,41,"c,c,c,c,c,c,c,c,c",C,,2185,yjy,2004,f,421,112,,33,48,"c,c,c,c,c,c,c",C
7762,gtd,2008,f,391,105,,49,55,"c,c,c,c,c",C,,,,,,,,,,,,,,3145,ymn,2004,f,394,99,,44,44,c,C
7764,gtb,2008,nosex,,,sen,50,54,"c,c,c,c",C,,2205,bgl,2004,m,437,119,,37,47,"c,c mouth,c,c,c",C,,3152,ymy,2004,f,412,98,bk,44,49,"c,c",C
7767,gta,2008,f,394,90,bk,51,62,"c,c,c,c,c,c,c,c,c,c",C,,2137,yhj,2004,m,416,110,,33,47,"c,c,c,c,c,c mouth",C,,3189,ypv,2004,f,416,107,bk,45,49,"c,c,c",C
9601,gas,2008,f,388,93,bk,45,49,"c mouth,c mouth,c,c,c,c",C,,,,,,,,,,,,,,,,,,,,,,,,
9603,gao,2008,f,400,103,bk,44,53,"c mouth,c mouth,c,c,c,c,c,c,c,c,c",C,,2704,wtx,2004,m,470,135,bk,33,48,"c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c",C,,2121,yem,2004,f,427,109,sen,33,48,"c,c,c,c,c,c,c mouth,c,c,c,c mouth",C
9605,gam,2008,f,393,98,bk,43,51,"c mouth,c mouth,c,c,c,c,c,c,c,c,c",C,,2137,yhj,2004,m,416,110,,33,47,"c,c,c,c,c,c mouth",C,,3160,ynh,2004,f,377,94,sen,37,49,"c,c,c,c,c,c",C
9606,gal,2008,m,461,142,,44,44,"c mouth,c",C,,,,,,,,,,,,,,,,,,,,,,,,
9608,gae,2008,f,377,88,,46,62,"c mouth,c mouth,c,c,c,c,c,c,c,c,c",C,,2130,yez,2004,m,430,114,bk,33,44,"c,c,c,c,c,c,c mouth",C,,2418,bdw,2004,f,417,104,bk,33,53,"c,c,c,c,c,c,c,c,c,c,c,c",C
9612,gac,2008,f,412,107,bk,44,48,"c mouth,c,c,c,c,c,c",C,,2602,wlv,2004,m,431,123,bk,33,36,"c,a",tie,,3165,ynn,2004,f,391,110,,44,47,"c,c,c",C
9615,gcz,2008,f,390,98,bk,51,62,"c mouth,c,c,c,c,c,c,c,c,c",C,,3164,ynm,2004,m,431,122,bk,44,48,"c,c,c,c",C,,3158,yne,2004,f,401,101,,44,47,"c,c,c",C
9617,gcx,2008,f,399,100,bk,45,49,"c mouth,c mouth,c,c,c,c",C,,2412,bdm,2004,m,408,135,,35,45,"c,c,c,c,c,c,c,c,c,c",C,,3134,yma,2004,f,404,100,sen,44,49,"c,c,c",C
9619,gcv,2008,f,415,102,bk,42,49,"c mouth,c mouth,c,c mouth,c,c,c,c",C,,,,,,,,,,,,,,3141,ymj,2004,f,386,107,bk,44,48,"c,c,c,c",C
9621,gcs,2008,f,424,11,,42,56,"c mouth,c mouth,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c",C,,3164,ynm,2004,m,431,122,bk,44,48,"c,c,c,c",C,,3158,yne,2004,f,401,101,,44,47,"c,c,c",C
